SeasonEndYear,Squad,Comp,Player,Sh_Standard,SoT_Standard,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Final_Third,PPA,SCA_SCA,TO_SCA,PassLive_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,PassLive_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,TklW_Tackles,def_3rd_tackles,mid_3rd_tackles,att_3rd_tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,tkl_plus_int,Clr,Err
2024,Crystal Palace,Premier League,Chris Richards,6,1,417,514,81.1,7218,2118,22,1,10,0,7,2,0,1,2,2,0,0,0,0,20,17,15,2,15,21,71.4,24,9,15,20,54,72,0
2024,Crystal Palace,Premier League,Jaïro Riedewald,0,0,48,65,73.8,779,159,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,50,0,0,0,2,6,0,0
2024,Crystal Palace,Premier League,Jeffrey Schlupp,17,9,216,291,74.2,3011,790,15,6,23,2,17,1,2,1,1,1,0,0,0,0,21,14,15,6,9,17,52.9,12,2,10,7,42,23,0
2024,Crystal Palace,Premier League,James Tomkins,0,0,8,11,72.7,99,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1,0,0
2024,Crystal Palace,Premier League,Joel Ward,9,0,596,779,76.5,9920,4581,58,7,15,0,12,1,0,0,3,2,0,0,0,0,22,21,14,1,24,40,60,13,8,5,8,44,70,1
2024,Crystal Palace,Premier League,Adam Wharton,2,0,111,155,71.6,2079,698,8,2,11,0,5,0,0,0,0,0,0,0,0,0,13,4,8,3,8,17,47.1,5,2,3,7,22,5,1
2024,Everton,Premier League,Beto,33,8,77,133,57.9,974,218,7,2,27,6,16,2,1,2,1,1,0,0,0,0,5,1,6,4,3,10,30,9,0,9,0,11,10,0
2024,Everton,Premier League,Jarrad Branthwaite,8,3,761,962,79.1,14172,5182,34,1,15,0,12,1,2,0,1,1,0,0,0,0,25,31,16,1,33,40,82.5,31,22,9,41,89,107,1
2024,Everton,Premier League,Dominic Calvert-Lewin,51,16,180,321,56.1,2180,467,11,9,38,0,30,5,2,1,4,1,0,3,0,0,3,1,5,3,2,11,18.2,11,3,8,3,12,25,0
2024,Everton,Premier League,Thomas Cannon,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
